Model,MSE,Std Error
6c,0.022420217,0
8c,0.016394464,0.012601344
8b,0.017075489,0.013576928
9c,0.017096479,0.017359008
7c,0.016487487,0.018084099
9b,0.01743186,0.018931703
7b,0.017494553,0.020601277
7a,0,0.0383806
1b,0.018284875,0.020672711
2b,0.019104416,0.022410893
1c,0.021784408,0.02431475
3b,0.02362914,0.027519887
2c,0.024360467,0.028856036
5b,0.027569097,0.029448247
3c,0.02824328,0.032847898
6a,0.048333559,0.014466374
5c,0.032964127,0.034805472
13e,0.025349132,0.043708987
13b,0.025522971,0.043656966
13f,0.025297258,0.043890307
13a,0.025901257,0.043430034
13c,0.025466751,0.044621052
13d,0.026429895,0.045607944
12c,0.041835019,0.058616975
12f,0.041943854,0.058893667
9a,0.04332153,0.058076597
11b,0.048435551,0.0580651
11e,0.048530515,0.05832954
12b,0.043991459,0.064160798
12e,0.044120359,0.064325154
11c,0.049356437,0.06133319
11f,0.049393886,0.06137541
12a,0.047249467,0.064373029
12d,0.04751411,0.064703438
11a,0.050631937,0.066762039
11d,0.050822883,0.067131463
3a,0.065176002,0.056988679
1a,0.065704455,0.057424261
2a,0.065831598,0.058629038
5a,0.067935331,0.060383429
4c,0.080402848,0.078379507
4b,0.076222475,0.082681798
10a,0.100245961,0.09965668
10b,0.100245961,0.09965668
10c,0.100245961,0.09965668
4a,0.103144917,0.100393645
8a,0.097206547,1
6b,1,0.769587667
